episode,reward,avg_loss,epsilon,success,steps
163,1.500,0.96255,0.780,0,50
164,3.000,1.55205,0.779,0,50
165,3.000,1.40258,0.777,0,50
166,-4.000,0.37485,0.776,0,50
167,-3.500,1.39255,0.775,0,50
168,-1.000,1.51598,0.773,0,50
169,2.000,0.85084,0.772,0,50
170,5.000,0.20077,0.771,0,50
171,-0.500,0.95224,0.769,0,50
172,8.000,0.77400,0.768,0,50
173,4.000,0.95745,0.767,0,50
174,1.500,1.19725,0.765,0,50
175,-1.000,0.75665,0.764,0,50
176,6.500,0.97849,0.762,0,50
177,2.500,0.50091,0.761,0,50
178,3.000,0.66612,0.760,0,50
179,5.500,0.92272,0.758,0,50
180,15.000,1.03143,0.757,0,50
181,4.000,1.41989,0.756,0,50
182,2.000,0.83875,0.754,0,50
183,2.000,0.48707,0.753,0,50
184,12.500,1.81664,0.752,0,50
185,9.000,1.46891,0.750,0,50
186,3.500,0.96909,0.749,0,50
187,-1.000,1.62236,0.748,0,50
188,7.500,0.52650,0.746,0,50
189,-0.000,0.83384,0.745,0,50
190,-2.000,0.88589,0.743,0,50
191,8.000,0.41558,0.742,0,50
192,2.500,1.07071,0.741,0,50
193,12.000,1.21297,0.739,0,50
194,-0.000,0.65013,0.738,0,50
195,7.000,1.06066,0.737,0,50
196,14.500,0.43916,0.735,0,50
197,8.500,0.35599,0.734,0,50
198,13.000,0.70503,0.733,0,50
199,5.500,0.25396,0.731,0,50
200,54.600,0.75305,0.730,1,39
201,3.000,2.17981,0.729,0,50
202,6.500,1.70875,0.727,0,50
203,4.000,0.62587,0.726,0,50
204,-4.000,1.34400,0.725,0,50
205,6.000,1.24974,0.723,0,50
206,1.500,0.82817,0.722,0,50
207,-2.500,0.82335,0.721,0,50
208,4.500,0.89733,0.719,0,50
209,7.000,1.04550,0.718,0,50
210,10.000,0.90157,0.717,0,50
211,3.500,0.78921,0.715,0,50
212,57.900,0.75982,0.714,1,41
213,57.000,1.88126,0.714,1,20
214,9.500,0.79258,0.712,0,50
215,3.000,0.96129,0.711,0,50
216,5.000,0.84501,0.710,0,50
217,2.000,0.78844,0.708,0,50
218,4.500,1.54205,0.707,0,50
219,5.500,1.97580,0.705,0,50
220,4.000,1.02585,0.704,0,50
221,-4.000,1.77405,0.703,0,50
222,-1.000,1.19805,0.701,0,50
223,11.500,1.93783,0.700,0,50
224,5.500,1.82685,0.699,0,50
225,6.000,1.00947,0.697,0,50
226,9.000,1.42863,0.696,0,50
227,11.000,1.20518,0.695,0,50
228,6.500,0.71812,0.693,0,50
229,0.500,1.63199,0.692,0,50
230,11.500,1.48925,0.691,0,50
231,4.000,1.37183,0.689,0,50
232,-1.000,0.95241,0.688,0,50
233,7.000,1.35857,0.686,0,50
234,1.000,0.97530,0.685,0,50
235,9.000,1.24830,0.684,0,50
236,-0.500,0.82851,0.682,0,50
237,4.000,0.44765,0.681,0,50
238,0.500,0.97069,0.680,0,50
239,2.500,1.29542,0.678,0,50
240,10.000,1.25489,0.677,0,50
241,9.500,1.56129,0.676,0,50
242,6.500,1.68805,0.674,0,50
243,10.500,1.27112,0.673,0,50
244,6.000,1.13004,0.672,0,50
245,53.900,0.52814,0.671,1,6
246,8.500,1.20027,0.670,0,50
247,8.000,2.11511,0.669,0,50
248,5.000,1.04305,0.667,0,50
249,5.500,0.77237,0.666,0,50
250,13.000,1.53319,0.665,0,50
251,15.000,1.04734,0.663,0,50
252,3.500,1.12256,0.662,0,50
253,8.000,1.64013,0.661,0,50
254,15.000,1.65484,0.659,0,50
255,2.500,0.80556,0.658,0,50
256,6.000,0.90655,0.656,0,50
257,10.000,1.07791,0.655,0,50
258,14.000,0.93120,0.654,0,50
259,8.500,1.94963,0.652,0,50
260,7.000,2.17778,0.651,0,50
261,4.000,2.29965,0.650,0,50
262,8.500,1.40894,0.648,0,50
263,2.500,0.74694,0.647,0,50
264,9.500,1.75543,0.646,0,50
265,4.000,1.05462,0.644,0,50
266,7.000,1.76451,0.643,0,50
267,9.500,1.94249,0.642,0,50
268,19.000,1.24650,0.640,0,50
269,54.800,1.78136,0.639,1,32
270,2.000,1.07571,0.638,0,50
271,4.500,1.66575,0.637,0,50
272,10.500,1.06157,0.635,0,50
273,2.500,1.44411,0.634,0,50
274,11.000,1.32192,0.633,0,50
275,5.500,1.11421,0.631,0,50
276,6.500,0.88569,0.630,0,50
277,7.500,1.04001,0.628,0,50
278,56.000,0.92900,0.628,1,30
279,-3.000,0.78211,0.626,0,50
280,5.500,2.08344,0.625,0,50
281,10.000,1.27533,0.624,0,50
282,6.500,1.76859,0.622,0,50
283,10.500,0.65615,0.621,0,50
284,2.000,1.86561,0.619,0,50
285,8.500,1.03695,0.618,0,50
286,6.500,1.65924,0.617,0,50
287,14.500,1.95647,0.615,0,50
288,8.000,1.32074,0.614,0,50
289,-4.500,1.95808,0.613,0,50
290,17.500,1.54551,0.611,0,50
291,12.000,1.45332,0.610,0,50
292,2.000,1.34478,0.609,0,50
293,2.500,0.82262,0.607,0,50
294,3.500,1.56766,0.606,0,50
295,57.500,0.97767,0.606,1,15
296,8.000,2.21593,0.604,0,50
297,7.000,1.76490,0.603,0,50
298,1.500,1.20875,0.601,0,50
299,3.500,1.46212,0.600,0,50
300,3.000,1.25643,0.599,0,50
301,9.000,1.19229,0.597,0,50
302,7.000,0.94662,0.596,0,50
303,-1.500,1.37342,0.595,0,50
304,4.000,1.38732,0.593,0,50
305,4.000,2.51421,0.592,0,50
306,7.500,1.77467,0.591,0,50
307,57.400,1.71672,0.589,1,41
308,6.500,1.83623,0.588,0,50
309,15.000,1.27667,0.587,0,50
310,9.000,1.53592,0.585,0,50
311,7.000,1.94966,0.584,0,50
312,1.500,1.89815,0.583,0,50
313,2.000,1.28920,0.581,0,50
314,3.000,1.43982,0.580,0,50
315,11.000,1.38529,0.579,0,50
316,-1.500,1.77032,0.577,0,50
317,12.500,1.52496,0.576,0,50
318,1.500,1.66961,0.575,0,50
319,14.500,2.03218,0.573,0,50
320,1.500,2.33408,0.572,0,50
321,2.500,2.44075,0.570,0,50
322,1.500,1.18813,0.569,0,50
323,4.000,2.29152,0.568,0,50
324,-1.000,1.33057,0.566,0,50
325,5.500,1.73513,0.565,0,50
326,-0.000,1.37087,0.564,0,50
327,6.000,1.90171,0.562,0,50
328,9.000,2.38050,0.561,0,50
329,11.000,2.31654,0.560,0,50
330,8.500,3.26904,0.558,0,50
331,9.000,1.66855,0.557,0,50
332,5.500,2.47053,0.556,0,50
333,11.000,2.45889,0.554,0,50
334,10.000,2.01084,0.553,0,50
335,0.000,1.18738,0.551,0,50
336,8.000,2.07030,0.550,0,50
337,13.500,1.23502,0.549,0,50
338,5.000,1.83359,0.547,0,50
339,12.500,1.35478,0.546,0,50
340,14.000,1.94369,0.545,0,50
341,9.000,1.27337,0.543,0,50
342,8.500,1.85290,0.542,0,50
343,10.500,2.07047,0.541,0,50
344,5.000,1.99704,0.539,0,50
345,0.500,1.66570,0.538,0,50
346,56.700,2.31361,0.537,1,38
347,9.000,1.50534,0.536,0,50
348,-0.000,1.44311,0.534,0,50
349,13.500,1.79353,0.533,0,50
350,6.000,2.12698,0.531,0,50
351,11.500,1.72192,0.530,0,50
352,5.500,1.83772,0.529,0,50
353,59.300,2.51827,0.528,1,37
354,5.000,2.16660,0.526,0,50
355,1.500,1.61320,0.525,0,50
356,16.000,2.31076,0.524,0,50
357,52.800,1.10250,0.523,1,27
358,12.000,0.99216,0.522,0,50
359,14.000,1.57747,0.520,0,50
360,63.600,2.04333,0.519,1,39
361,4.000,1.98160,0.518,0,50
362,9.000,2.53026,0.516,0,50
363,2.000,2.26732,0.515,0,50
364,12.500,2.55030,0.514,0,50
365,8.500,2.29065,0.512,0,50
366,56.500,1.28858,0.512,1,10
367,9.500,3.14799,0.511,0,50
368,18.500,2.27524,0.509,0,50
369,18.500,2.07506,0.508,0,50
370,55.500,1.65173,0.507,1,25
371,24.500,1.81088,0.506,0,50
372,7.500,2.55408,0.505,0,50
373,8.000,2.54352,0.503,0,50
374,10.000,2.44798,0.502,0,50
375,6.500,1.97707,0.501,0,50
376,57.300,2.02947,0.500,1,37
377,9.000,2.19084,0.498,0,50
378,20.000,5.01654,0.497,0,50
379,12.500,1.85613,0.495,0,50
380,14.500,2.29639,0.494,0,50
381,56.200,2.79605,0.493,1,28
382,9.000,2.95744,0.492,0,50
383,14.000,2.52229,0.491,0,50
384,7.500,2.15446,0.489,0,50
385,57.700,2.70729,0.488,1,48
386,59.900,2.96066,0.487,1,46
387,7.500,2.43021,0.485,0,50
388,17.500,3.82063,0.484,0,50
389,8.500,2.04287,0.483,0,50
390,10.500,2.87455,0.481,0,50
391,5.000,2.41972,0.480,0,50
392,16.500,2.48622,0.479,0,50
393,4.500,3.23447,0.477,0,50
394,9.500,3.34543,0.476,0,50
395,3.000,2.52471,0.475,0,50
396,10.000,1.93731,0.473,0,50
397,6.000,3.10868,0.472,0,50
398,17.000,2.01013,0.470,0,50
399,63.600,2.49872,0.470,1,34
400,10.000,2.52061,0.468,0,50
401,10.500,3.54812,0.467,0,50
402,21.000,2.18089,0.465,0,50
403,6.500,2.71084,0.464,0,50
404,12.000,2.75251,0.463,0,50
405,9.000,2.37242,0.461,0,50
406,7.500,2.55701,0.460,0,50
407,13.000,2.88870,0.459,0,50
408,2.000,2.92817,0.457,0,50
409,7.500,2.74140,0.456,0,50
410,10.500,1.27581,0.455,0,50
411,1.000,2.00144,0.453,0,50
412,61.300,1.97810,0.452,1,32
413,16.000,1.66028,0.451,0,50
414,61.900,2.70653,0.450,1,26
415,7.500,2.05491,0.449,0,50
416,52.800,5.04135,0.449,1,7
417,61.200,3.48943,0.448,1,28
418,20.000,3.19163,0.447,0,50
419,12.000,2.95635,0.445,0,50
420,9.500,2.62408,0.444,0,50
421,15.000,2.91791,0.443,0,50
422,17.500,3.60133,0.441,0,50
423,67.200,3.66540,0.440,1,33
424,4.000,2.50333,0.439,0,50
425,60.300,1.53711,0.438,1,27
426,11.000,2.76627,0.437,0,50
427,14.500,3.43028,0.436,0,50
428,20.500,4.40633,0.434,0,50
429,5.500,2.07514,0.433,0,50
430,15.500,2.37315,0.431,0,50
431,52.300,2.26291,0.431,1,32
432,4.000,3.61228,0.429,0,50
433,23.500,2.46111,0.428,0,50
434,10.500,3.53453,0.426,0,50
435,10.500,4.91421,0.425,0,50
436,-2.000,2.71924,0.424,0,50
437,22.000,3.18967,0.422,0,50
438,67.800,2.60192,0.421,1,37
439,22.000,2.65237,0.420,0,50
440,7.500,3.75086,0.419,0,50
441,66.800,3.70323,0.418,1,37
442,55.600,3.24558,0.417,1,19
443,9.500,2.56409,0.416,0,50
444,14.000,3.87841,0.414,0,50
445,13.000,2.60453,0.413,0,50
446,59.700,3.53390,0.412,1,48
447,2.000,3.78740,0.410,0,50
448,70.900,3.88213,0.410,1,31
449,1.500,2.69298,0.408,0,50
450,15.500,3.69336,0.407,0,50
451,12.000,3.14428,0.406,0,50
452,27.500,3.71635,0.404,0,50
453,8.500,2.52307,0.403,0,50
454,11.500,3.80703,0.401,0,50
455,12.000,3.58726,0.400,0,50
456,17.500,2.61455,0.399,0,50
